"ID","QUESTION","USER_ANSWER","CORRECT_ANSWER"
"2","Magnetic Tape used random access method.","True","False"
"3","Twitter is an online social networking and blogging service.","True","False"
"4","Worms and trojan horses are easily detected and eliminated by antivirus software.","True","True"
"5","Dot-matrix, Deskjet, Inkjet and Laser are all types of Printers.","True","True"
"6","GNU / Linux is a open source operating system.","False","True"
"7","Whaling / Whaling attack is a kind of phishing attacks that target senior executives and other high profile to access valuable information.","False","True"
"8","Freeware is software that is available for use at no monetary cost.","False","True"
"9","IPv6 Internet Protocol address is represented as eight groups of four Octal digits.",,"False"
"10","The hexadecimal number system contains digits from 1 - 15.",,"False"
"11","Octal number system contains digits from 0 - 7.",,"True"
"12","MS Word is a hardware.",,"False"
"13","CPU controls only input data of computer.",,"False"
"14","CPU stands for Central Performance Unit.",,"False"
"15","When you include multiple addresses in a message, you should separate each address with a period (.)",,"False"
"16","You cannot format text in an e-mail message.",,"False"
"17","You must include a subject in any mail message you compose.",,"False"
"18","If you want to respond to the sender of a message, click the Respond button.",,"False"
"19","You type the body of a reply the same way you would type the body of a new message.",,"True"
"20","When you reply to a message, you need to enter the text in the Subject: field.",,"False"
"21","You can only print one copy of a selected message.",,"False"
"22","You cannot preview a message before you print it.",,"False"
"23","There is only one way to print a message.",,"False"
"24","When you print a message, it is automatically deleted from your Inbox.",,"False"
"25","You need to delete a contact and create a new one to change contact information.",,"False"
"26","You must complete all fields in the Contact form before you can save the contact.",,"False"
"27","You cannot edit Contact forms.",,"False"
"28","You should always open and attachment before saving it.",,"False"
"29","You can delete e-mails from a Web-based e-mail account.",,"True"
"30","You can store Web-based e-mail messages in online folders.",,"True"
